NAME,NAME_WIKI,WIKIDATA,CODE,DESCRIPTIO,MS_FB_PARE,MS_FB
Cumbernauld and Kilsyth P Const,Cumbernauld and Kilsyth,Q1143732,S16000093,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000093
Falkirk East P Const,Falkirk East,Q1394345,S16000112,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000112
Airdrie and Shotts P Const,Airdrie and Shotts,Q408547,S16000079,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000079
Uddingston and Bellshill P Const,Uddingston and Bellshill,Q1623093,S16000146,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000146
Motherwell and Wishaw P Const,Motherwell and Wishaw,Q1949654,S16000133,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000133
Coatbridge and Chryston P Const,Coatbridge and Chryston,Q1104440,S16000091,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000091
Falkirk West P Const,Falkirk West,Q1394351,S16000113,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000113
East Kilbride P Const,East Kilbride,Q477746,S16000101,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000101
Glasgow Maryhill and Springburn P Const,Glasgow Maryhill and Springburn,Q1529515,S16000118,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000118
Glasgow Cathcart P Const,Glasgow Cathcart,Q1458360,S16000116,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000116
Rutherglen P Const,Rutherglen,Q2177847,S16000141,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000141
Glasgow Pollok P Const,Glasgow Pollok,Q1529523,S16000119,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000119
Glasgow Provan P Const,Glasgow Provan,Q1529525,S16000147,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000147
Glasgow Southside P Const,Glasgow Southside,Q178524,S16000122,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000122
Glasgow Shettleston P Const,Glasgow Shettleston,Q1529535,S16000121,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000121
Glasgow Kelvin P Const,Glasgow Kelvin,Q1529510,S16000117,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000117
Inverness and Nairn P Const,Inverness and Nairn,Q1396337,S16000125,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000125
Almond Valley P Const,Almond Valley,Q1589906,S16000080,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000080
Linlithgow P Const,Linlithgow,Q1569402,S16000128,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000128
Edinburgh Pentlands P Const,Edinburgh Pentlands,Q1284757,S16000107,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000107
Edinburgh Southern P Const,Edinburgh Southern,Q5338259,S16000108,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000108
Edinburgh Northern and Leith P Const,Edinburgh Northern and Leith,Q1284756,S16000106,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000106
Edinburgh Eastern P Const,Edinburgh Eastern,Q1284729,S16000105,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000105
Edinburgh Central P Const,Edinburgh Central,Q597563,S16000104,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000104
Dunfermline P Const,Dunfermline,Q1265614,S16000100,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000100
Clackmannanshire and Dunblane P Const,Clackmannanshire and Dunblane,Q1094628,S16000088,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000088
Stirling P Const,Stirling,Q2350325,S16000144,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000144
Perthshire South and Kinross-shire P Const,Perthshire South and Kinross-shire,Q1512696,S16000138,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000138
Perthshire North P Const,Perthshire North,Q124813,S16000137,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000137
Mid Fife and Glenrothes P Const,Mid Fife and Glenrothes,Q999244,S16000129,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000129
Angus South P Const,Angus South,Q544610,S16000082,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000082
Aberdeenshire West P Const,Aberdeenshire West,Q319521,S16000078,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000078
Aberdeen Donside P Const,Aberdeen Donside,Q319480,S16000075,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000075
Dundee City West P Const,Dundee City West,Q1265524,S16000099,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000099
Dundee City East P Const,Dundee City East,Q1265528,S16000098,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000098
Aberdeen Central P Const,Aberdeen Central,Q319474,S16000074,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000074
"Ettrick, Roxburgh and Berwickshire P Const","Ettrick, Roxburgh and Berwickshire",Q1371899,S16000111,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000111
Clydesdale P Const,Clydesdale,Q1022403,S16000090,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000090
Dumfriesshire P Const,Dumfriesshire,Q287509,S16000097,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000097
"Midlothian South, Tweeddale and Lauderdale P Const","Midlothian South, Tweeddale and Lauderdale",Q1931997,S16000131,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000131
Kilmarnock and Irvine Valley P Const,Kilmarnock and Irvine Valley,Q1741403,S16000126,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000126
Dumbarton P Const,Dumbarton,Q1719129,S16000096,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000096
Cunninghame South P Const,Cunninghame South,Q1144052,S16000095,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000095
Renfrewshire South P Const,Renfrewshire South,Q2143939,S16000140,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000140
Strathkelvin and Bearsden P Const,Strathkelvin and Bearsden,Q2353886,S16000148,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000148
Eastwood P Const,Eastwood,Q1278307,S16000103,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000103
Greenock and Inverclyde P Const,Greenock and Inverclyde,Q1544755,S16000123,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000123
Renfrewshire North and West P Const,Renfrewshire North and West,Q959590,S16000139,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000139
Clydebank and Milngavie P Const,Clydebank and Milngavie,Q1103746,S16000089,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000089
Paisley P Const,Paisley,Q2046519,S16000136,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000136
"Hamilton, Larkhall and Stonehouse P Const","Hamilton, Larkhall and Stonehouse",Q1573419,S16000124,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000124
Galloway and West Dumfries P Const,Galloway and West Dumfries,Q1492567,S16000114,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000114
East Lothian P Const,East Lothian,Q1277940,S16000102,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000102
North East Fife P Const,North East Fife,Q914974,S16000134,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000134
Midlothian North and Musselburgh P Const,Midlothian North and Musselburgh,Q1932000,S16000130,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000130
"Skye, Lochaber and Badenoch P Const","Skye, Lochaber and Badenoch",Q2293327,S16000143,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000143
Na h-Eileanan an Iar P Const,Na h-Eileanan an Iar,Q1961874,S16000110,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000110
Edinburgh Western P Const,Edinburgh Western,Q1284768,S16000109,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000109
Aberdeenshire East P Const,Aberdeenshire East,Q319516,S16000077,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000077
Cowdenbeath P Const,Cowdenbeath,Q1138189,S16000092,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000092
Banffshire and Buchan Coast P Const,Banffshire and Buchan Coast,Q806431,S16000085,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000085
Shetland Islands P Const,Shetland,Q2278508,S16000142,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000142
"Carrick, Cumnock and Doon Valley P Const","Carrick, Cumnock and Doon Valley",Q925833,S16000087,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000087
Kirkcaldy P Const,Kirkcaldy,Q1392204,S16000127,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000127
Glasgow Anniesland P Const,Glasgow Anniesland,Q1529483,S16000115,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000115
Cunninghame North P Const,Cunninghame North,Q1144044,S16000094,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000094
Moray P Const,Moray,Q1799307,S16000132,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc:s16000132
