NAME,CODE,DESCRIPTIO,MS_FB_PARE,MS_FB
Aberavon Assembly Const,W09000022,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000022
Aberconwy Assembly Const,W09000003,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000003
Aberdeen Central P Const,S16000074,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000074
Aberdeen Donside P Const,S16000075,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000075
Aberdeen South and North Kincardine P Const,S16000076,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000076
Aberdeenshire East P Const,S16000077,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000077
Aberdeenshire West P Const,S16000078,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000078
Airdrie and Shotts P Const,S16000079,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000079
Almond Valley P Const,S16000080,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000080
Alyn and Deeside Assembly Const,W09000007,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000007
Angus North and Mearns P Const,S16000081,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000081
Angus South P Const,S16000082,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000082
Arfon Assembly Const,W09000002,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000002
Argyll and Bute P Const,S16000083,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000083
Ayr P Const,S16000084,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000084
BELFAST EAST,N06000001,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000001
BELFAST NORTH,N06000002,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000002
BELFAST SOUTH,N06000003,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000003
BELFAST WEST,N06000004,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000004
Banffshire and Buchan Coast P Const,S16000085,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000085
Blaenau Gwent Assembly Const,W09000038,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000038
Brecon and Radnorshire Assembly Const,W09000041,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000041
Bridgend Assembly Const,W09000023,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000023
Caerphilly Assembly Const,W09000035,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000035
"Caithness, Sutherland and Ross P Const",S16000086,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000086
Cardiff Central Assembly Const,W09000031,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000031
Cardiff North Assembly Const,W09000042,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000042
Cardiff South and Penarth Assembly Const,W09000043,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000043
Cardiff West Assembly Const,W09000029,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000029
Carmarthen East and Dinefwr Assembly Const,W09000015,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000015
Carmarthen West and South Pembrokeshire Assembly Const,W09000016,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000016
"Carrick, Cumnock and Doon Valley P Const",S16000087,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000087
Ceredigion Assembly Const,W09000012,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000012
Clackmannanshire and Dunblane P Const,S16000088,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000088
Clwyd South Assembly Const,W09000009,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000009
Clwyd West Assembly Const,W09000004,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000004
Clydebank and Milngavie P Const,S16000089,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000089
Clydesdale P Const,S16000090,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000090
Coatbridge and Chryston P Const,S16000091,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000091
Cowdenbeath P Const,S16000092,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000092
Cumbernauld and Kilsyth P Const,S16000093,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000093
Cunninghame North P Const,S16000094,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000094
Cunninghame South P Const,S16000095,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000095
Cynon Valley Assembly Const,W09000026,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000026
Delyn Assembly Const,W09000006,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000006
Dumbarton P Const,S16000096,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000096
Dumfriesshire P Const,S16000097,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000097
Dundee City East P Const,S16000098,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000098
Dundee City West P Const,S16000099,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000099
Dunfermline P Const,S16000100,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000100
Dwyfor Meirionnydd Assembly Const,W09000010,Welsh Assembly Constituency,country:gb/country:wls,country:gb/country:wls/wac-constituency:w09000010
EAST ANTRIM,N06000005,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000005
EAST LONDONDERRY,N06000006,Northern Ireland Assembly Constituency,country:gb/province:nir,country:gb/province:nir/nia-constituency:n06000006
East Kilbride P Const,S16000101,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000101
East Lothian P Const,S16000102,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000102
Eastwood P Const,S16000103,Scottish Parliament Constituency,country:gb/country:sct,country:gb/country:sct/spc-constituency:s16000103
