NAME,ToReconcile,WIKIDATA,CODE,MS_FB_PARE,MS_FB
Aberavon Co Const,Aberavon,Q290823,W07000049,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000049
Aberconwy Co Const,Aberconwy,Q299976,W07000058,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000058
Aberdeen North Burgh Const,Aberdeen North,Q299984,S14000001,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000001
Aberdeen South Burgh Const,Aberdeen South,Q299997,S14000002,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000002
Airdrie and Shotts Co Const,Airdrie and Shotts,Q581626,S14000003,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000003
Aldershot Boro Const,Aldershot,Q581697,E14000530,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000530
Aldridge-Brownhills Boro Const,Aldridge-Brownhills,Q581792,E14000531,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000531
Altrincham and Sale West Boro Const,Altrincham and Sale West,Q588969,E14000532,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000532
Alyn and Deeside Co Const,Alyn and Deeside,Q750582,W07000043,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000043
Amber Valley Co Const,Amber Valley,Q750643,E14000533,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000533
Angus Co Const,Angus,Q750956,S14000004,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000004
Arfon Co Const,Arfon,Q750978,W07000057,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000057
Argyll and Bute Co Const,Argyll and Bute,Q750994,S14000005,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000005
Arundel and South Downs Co Const,Arundel and South Downs,Q751016,E14000534,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000534
Ashfield Co Const,Ashfield,Q751043,E14000535,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000535
Ashford Co Const,Ashford,Q751068,E14000536,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000536
Ashton-under-Lyne Boro Const,Ashton-under-Lyne,Q751233,E14000537,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000537
Aylesbury Co Const,Aylesbury,Q751262,E14000538,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000538
"Ayr, Carrick and Cumnock Co Const","Ayr, Carrick and Cumnock",Q751285,S14000006,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000006
BELFAST EAST,Belfast East,Q751562,N06000001,country:gb/province:nir,country:gb/province:nir/westminster-constituency:n06000001
BELFAST NORTH,Belfast North,Q751580,N06000002,country:gb/province:nir,country:gb/province:nir/westminster-constituency:n06000002
BELFAST SOUTH,Belfast South,Q751599,N06000003,country:gb/province:nir,country:gb/province:nir/westminster-constituency:n06000003
BELFAST WEST,Belfast West,Q751608,N06000004,country:gb/province:nir,country:gb/province:nir/westminster-constituency:n06000004
Banbury Co Const,Banbury,Q989270,E14000539,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000539
Banff and Buchan Co Const,Banff and Buchan,Q3133785,S14000007,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000007
Barking Boro Const,Barking,Q3133809,E14000540,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000540
Barnsley Central Boro Const,Barnsley Central,Q1075476,E14000541,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000541
Barnsley East Co Const,Barnsley East,Q3133832,E14000542,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000542
Barrow and Furness Co Const,Barrow and Furness,Q1075925,E14000543,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000543
Basildon and Billericay Boro Const,Basildon and Billericay,Q3133856,E14000544,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000544
Basingstoke Boro Const,Basingstoke,Q1080350,E14000545,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000545
Bassetlaw Co Const,Bassetlaw,Q1077488,E14000546,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000546
Bath Boro Const,Bath,Q1075440,E14000547,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000547
Batley and Spen Boro Const,Batley and Spen,Q3133894,E14000548,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000548
Battersea Boro Const,Battersea,Q3133916,E14000549,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000549
Beaconsfield Co Const,Beaconsfield,Q586563,E14000550,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000550
Beckenham Boro Const,Beckenham,Q1032319,E14000551,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000551
Bedford Boro Const,Bedford,Q1032329,E14000552,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000552
Bermondsey and Old Southwark Boro Const,Bermondsey and Old Southwark,Q3133970,E14000553,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000553
Berwick-upon-Tweed Co Const,Berwick-upon-Tweed,Q1072626,E14000554,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000554
"Berwickshire, Roxburgh and Selkirk Co Const","Berwickshire, Roxburgh and Selkirk",Q3134016,S14000008,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000008
Bethnal Green and Bow Boro Const,Bethnal Green and Bow,Q3134130,E14000555,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000555
Beverley and Holderness Co Const,Beverley and Holderness,Q3134150,E14000556,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000556
Bexhill and Battle Co Const,Bexhill and Battle,Q3134165,E14000557,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000557
Bexleyheath and Crayford Boro Const,Bexleyheath and Crayford,Q588875,E14000558,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000558
Birkenhead Boro Const,Birkenhead,Q1080413,E14000559,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000559
"Birmingham, Edgbaston Boro Const",Birmingham Edgbaston,Q1080287,E14000560,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000560
"Birmingham, Erdington Boro Const",Birmingham Erdington,Q1080358,E14000561,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000561
"Birmingham, Hall Green Boro Const",Birmingham Hall Green,Q1080378,E14000562,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000562
"Birmingham, Hodge Hill Boro Const",Birmingham Hodge Hill,Q1080403,E14000563,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000563
"Birmingham, Ladywood Boro Const",Birmingham Ladywood,Q1070050,E14000564,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000564
"Birmingham, Northfield Boro Const",Birmingham Northfield,Q3136714,E14000565,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000565
"Birmingham, Perry Barr Boro Const",Birmingham Perry Barr,Q3136734,E14000566,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000566
"Birmingham, Selly Oak Boro Const",Birmingham Selly Oak,Q3136751,E14000567,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000567
"Birmingham, Yardley Boro Const",Birmingham Yardley,Q1077778,E14000568,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000568
Bishop Auckland Co Const,Bishop Auckland,Q1072667,E14000569,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000569
Blackburn Boro Const,Blackburn,Q1077481,E14000570,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000570
Blackley and Broughton Boro Const,Blackley and Broughton,Q3137325,E14000571,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000571
Blackpool North and Cleveleys Boro Const,Blackpool North and Cleveleys,Q3137610,E14000572,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000572
Blackpool South Boro Const,Blackpool South,Q1077631,E14000573,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000573
Blaenau Gwent Co Const,Blaenau Gwent,Q3137641,W07000072,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000072
Blaydon Boro Const,Blaydon,Q3134218,E14000574,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000574
Blyth Valley Boro Const,Blyth Valley,Q1072792,E14000575,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000575
Bognor Regis and Littlehampton Co Const,Bognor Regis and Littlehampton,Q3137665,E14000576,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000576
Bolsover Co Const,Bolsover,Q3137680,E14000577,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000577
