NAME,ToReconcile,WIKIDATA,CODE,MS_FB_PARE,MS_FB
Bolton North East Boro Const,Bolton North East,Q3137707,E14000578,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000578
Bolton South East Boro Const,Bolton South East,Q3137734,E14000579,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000579
Bolton West Co Const,Bolton West,Q1070064,E14000580,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000580
Bootle Boro Const,Bootle,Q1080341,E14000581,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000581
Boston and Skegness Co Const,Boston and Skegness,Q3137757,E14000582,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000582
Bosworth Co Const,Bosworth,Q3137771,E14000583,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000583
Bournemouth East Boro Const,Bournemouth East,Q1080634,E14000584,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000584
Bournemouth West Boro Const,Bournemouth West,Q1080625,E14000585,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000585
Bracknell Co Const,Bracknell,Q3137794,E14000586,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000586
Bradford East Boro Const,Bradford East,Q3137808,E14000587,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000587
Bradford South Boro Const,Bradford South,Q3137827,E14000588,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000588
Bradford West Boro Const,Bradford West,Q1075417,E14000589,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000589
Braintree Co Const,Braintree,Q1072715,E14000590,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000590
Brecon and Radnorshire Co Const,Brecon and Radnorshire,Q1077422,W07000068,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000068
Brent Central Boro Const,Brent Central,Q3137848,E14000591,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000591
Brent North Boro Const,Brent North,Q1077540,E14000592,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000592
Brentford and Isleworth Boro Const,Brentford and Isleworth,Q1077806,E14000593,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000593
Brentwood and Ongar Co Const,Brentwood and Ongar,Q3137868,E14000594,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000594
Bridgend Co Const,Bridgend,Q1077324,W07000073,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000073
Bridgwater and West Somerset Co Const,Bridgwater and West Somerset,Q3137895,E14000595,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000595
Brigg and Goole Co Const,Brigg and Goole,Q3137917,E14000596,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000596
"Brighton, Kemptown Boro Const",Brighton Kemptown,Q3137937,E14000597,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000597
"Brighton, Pavilion Boro Const",Brighton Pavilion,Q1070099,E14000598,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000598
Bristol East Boro Const,Bristol East,Q1070148,E14000599,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000599
Bristol North West Boro Const,Bristol North West,Q3137955,E14000600,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000600
Bristol South Boro Const,Bristol South,Q578636,E14000601,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000601
Bristol West Boro Const,Bristol West,Q1072698,E14000602,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000602
Broadland Co Const,Broadland,Q3137980,E14000603,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000603
Bromley and Chislehurst Boro Const,Bromley and Chislehurst,Q1113129,E14000604,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000604
Bromsgrove Co Const,Bromsgrove,Q3231554,E14000605,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000605
Broxbourne Boro Const,Broxbourne,Q3231585,E14000606,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000606
Broxtowe Co Const,Broxtowe,Q3231619,E14000607,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000607
Buckingham Co Const,Buckingham,Q1070140,E14000608,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000608
Burnley Boro Const,Burnley,Q3235145,E14000609,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000609
Burton Co Const,Burton,Q3235146,E14000610,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000610
Bury North Boro Const,Bury North,Q3238753,E14000611,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000611
Bury South Boro Const,Bury South,Q3238774,E14000612,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000612
Bury St. Edmunds Co Const,Bury St Edmunds,Q1072621,E14000613,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000613
Caerphilly Co Const,Caerphilly,Q3238808,W07000076,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000076
"Caithness, Sutherland and Easter Ross Co Const","Caithness, Sutherland and Easter Ross",Q3238840,S14000009,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000009
Calder Valley Co Const,Calder Valley,Q3238861,E14000614,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000614
Camberwell and Peckham Boro Const,Camberwell and Peckham,Q3238889,E14000615,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000615
Camborne and Redruth Co Const,Camborne and Redruth,Q3238907,E14000616,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000616
Cambridge Boro Const,Cambridge,Q1072690,E14000617,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000617
Cannock Chase Co Const,Cannock Chase,Q3138658,E14000618,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000618
Canterbury Co Const,Canterbury,Q1070055,E14000619,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000619
Cardiff Central Boro Const,Cardiff Central,Q3138645,W07000050,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000050
Cardiff North Boro Const,Cardiff North,Q1077332,W07000051,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000051
Cardiff South and Penarth Boro Const,Cardiff South and Penarth,Q3238926,W07000080,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000080
Cardiff West Boro Const,Cardiff West,Q3238943,W07000079,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000079
Carlisle Boro Const,Carlisle,Q3238953,E14000620,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000620
Carmarthen East and Dinefwr Co Const,Carmarthen East and Dinefwr,Q1077385,W07000067,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000067
Carmarthen West and South Pembrokeshire Co Const,Carmarthen West and South Pembrokeshire,Q1077431,W07000066,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000066
Carshalton and Wallington Boro Const,Carshalton and Wallington,Q3238966,E14000621,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000621
Castle Point Boro Const,Castle Point,Q3238981,E14000622,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000622
Central Ayrshire Co Const,Central Ayrshire,Q3238991,S14000010,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000010
Central Devon Co Const,Central Devon,Q3239015,E14000623,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000623
Central Suffolk and North Ipswich Co Const,Central Suffolk and North Ipswich,Q3239055,E14000624,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000624
Ceredigion Co Const,Ceredigion,Q1077398,W07000064,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000064
Charnwood Co Const,Charnwood,Q1077545,E14000625,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000625
Chatham and Aylesford Co Const,Chatham and Aylesford,Q3239111,E14000626,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000626
Cheadle Boro Const,Cheadle,Q3239124,E14000627,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000627
Chelmsford Boro Const,Chelmsford,Q3239148,E14000628,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000628
Chelsea and Fulham Boro Const,Chelsea and Fulham,Q3239170,E14000629,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000629
Cheltenham Boro Const,Cheltenham,Q3239188,E14000630,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000630
Chesham and Amersham Co Const,Chesham and Amersham,Q1075935,E14000631,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000631
Chesterfield Boro Const,Chesterfield,Q1077473,E14000632,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000632
Chichester Co Const,Chichester,Q1075910,E14000633,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000633
Chingford and Woodford Green Boro Const,Chingford and Woodford Green,Q1077612,E14000634,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000634
Chippenham Co Const,Chippenham,Q3138621,E14000635,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000635
Chipping Barnet Boro Const,Chipping Barnet,Q1077626,E14000636,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000636
Chorley Co Const,Chorley,Q3334633,E14000637,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000637
Christchurch Co Const,Christchurch,Q3334655,E14000638,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000638
Cities of London and Westminster Boro Const,Cities of London and Westminster,Q3235346,E14000639,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000639
City of Chester Co Const,City of Chester,Q3334702,E14000640,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000640
City of Durham Co Const,City of Durham,Q1075483,E14000641,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000641
Clacton Co Const,Clacton,Q3302105,E14000642,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000642
Cleethorpes Co Const,Cleethorpes,Q3302128,E14000643,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000643
Clwyd South Co Const,Clwyd South,Q1077415,W07000062,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000062
Clwyd West Co Const,Clwyd West,Q1077449,W07000059,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000059
"Coatbridge, Chryston and Bellshill Burgh Const","Coatbridge, Chryston and Bellshill",Q3138595,S14000011,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000011
Colchester Boro Const,Colchester,Q1070042,E14000644,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000644
Colne Valley Co Const,Colne Valley,Q1080320,E14000645,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000645
Congleton Co Const,Congleton,Q3335586,E14000646,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000646
Copeland Co Const,Copeland,Q3335605,E14000647,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000647
Corby Co Const,Corby,Q3335626,E14000648,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000648
Coventry North East Boro Const,Coventry North East,Q1075422,E14000649,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000649
Coventry North West Boro Const,Coventry North West,Q3335749,E14000650,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000650
Coventry South Boro Const,Coventry South,Q3335775,E14000651,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000651
Crawley Boro Const,Crawley,Q3335844,E14000652,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000652
Crewe and Nantwich Co Const,Crewe and Nantwich,Q3335863,E14000653,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000653
Croydon Central Boro Const,Croydon Central,Q3335881,E14000654,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000654
Croydon North Boro Const,Croydon North,Q1077455,E14000655,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000655
Croydon South Boro Const,Croydon South,Q3231676,E14000656,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000656
"Cumbernauld, Kilsyth and Kirkintilloch East Co Const","Cumbernauld, Kilsyth and Kirkintilloch East",Q3231723,S14000012,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000012
Cynon Valley Co Const,Cynon Valley,Q1077377,W07000070,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000070
Dagenham and Rainham Boro Const,Dagenham and Rainham,Q3138569,E14000657,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000657
Darlington Boro Const,Darlington,Q1072896,E14000658,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000658
Dartford Co Const,Dartford,Q3138553,E14000659,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000659
Daventry Co Const,Daventry,Q1075915,E14000660,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000660
Delyn Co Const,Delyn,Q1077406,W07000042,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000042
Denton and Reddish Boro Const,Denton and Reddish,Q3231747,E14000661,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000661
Derby North Boro Const,Derby North,Q3231812,E14000662,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000662
Derby South Boro Const,Derby South,Q1077561,E14000663,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000663
Derbyshire Dales Co Const,Derbyshire Dales,Q3138528,E14000664,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000664
Devizes Co Const,Devizes,Q1080502,E14000665,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000665
Dewsbury Co Const,Dewsbury,Q1077785,E14000666,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000666
Don Valley Co Const,Don Valley,Q1077816,E14000667,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000667
Doncaster Central Boro Const,Doncaster Central,Q3138501,E14000668,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000668
Doncaster North Co Const,Doncaster North,Q1070108,E14000669,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000669
Dover Co Const,Dover,Q1070334,E14000670,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000670
Dudley North Boro Const,Dudley North,Q3335941,E14000671,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000671
Dudley South Boro Const,Dudley South,Q3335964,E14000672,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000672
Dulwich and West Norwood Boro Const,Dulwich and West Norwood,Q3335993,E14000673,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000673
Dumfries and Galloway Co Const,Dumfries and Galloway,Q3336017,S14000013,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000013
"Dumfriesshire, Clydesdale and Tweeddale Co Const","Dumfriesshire, Clydesdale and Tweeddale",Q3336059,S14000014,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000014
Dundee East Burgh Const,Dundee East,Q1032268,S14000015,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000015
Dundee West Burgh Const,Dundee West,Q1032281,S14000016,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000016
Dunfermline and West Fife Co Const,Dunfermline and West Fife,Q1032300,S14000017,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000017
Dwyfor Meirionnydd Co Const,Dwyfor Meirionnydd,Q3231892,W07000061,country:gb/country:wls,country:gb/country:wls/westminster-constituency:w07000061
EAST ANTRIM,East Antrim,Q751620,N06000005,country:gb/province:nir,country:gb/province:nir/westminster-constituency:n06000005
EAST LONDONDERRY,East Londonderry,Q751629,N06000006,country:gb/province:nir,country:gb/province:nir/westminster-constituency:n06000006
Ealing Central and Acton Boro Const,Ealing Central and Acton,Q3231914,E14000674,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000674
Ealing North Boro Const,Ealing North,Q1077439,E14000675,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000675
"Ealing, Southall Boro Const",Ealing Southall,Q1077590,E14000676,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000676
Easington Co Const,Easington,Q611841,E14000677,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000677
East Devon Co Const,East Devon,Q1080518,E14000678,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000678
East Dunbartonshire Co Const,East Dunbartonshire,Q874525,S14000018,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000018
East Ham Boro Const,East Ham,Q3337719,E14000679,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000679
East Hampshire Co Const,East Hampshire,Q3337705,E14000680,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000680
"East Kilbride, Strathaven and Lesmahagow Co Const","East Kilbride, Strathaven and Lesmahagow",Q3337694,S14000019,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000019
East Lothian Co Const,East Lothian,Q3138472,S14000020,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000020
East Renfrewshire Co Const,East Renfrewshire,Q1070154,S14000021,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000021
East Surrey Co Const,East Surrey,Q1051435,E14000681,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000681
East Worthing and Shoreham Co Const,East Worthing and Shoreham,Q3337670,E14000682,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000682
East Yorkshire Co Const,East Yorkshire,Q3337642,E14000683,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000683
Eastbourne Boro Const,Eastbourne,Q3337618,E14000684,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000684
Eastleigh Boro Const,Eastleigh,Q3337598,E14000685,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000685
Eddisbury Co Const,Eddisbury,Q3337569,E14000686,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000686
Edinburgh East Burgh Const,Edinburgh East,Q661360,S14000022,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000022
Edinburgh North and Leith Burgh Const,Edinburgh North and Leith,Q3138439,S14000023,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000023
Edinburgh South Burgh Const,Edinburgh South,Q1070093,S14000024,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000024
Edinburgh South West Burgh Const,Edinburgh South West,Q3138417,S14000025,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000025
Edinburgh West Burgh Const,Edinburgh West,Q1070045,S14000026,country:gb/country:sct,country:gb/country:sct/westminster-constituency:s14000026
Edmonton Boro Const,Edmonton,Q1077346,E14000687,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000687
Ellesmere Port and Neston Co Const,Ellesmere Port and Neston,Q3302172,E14000688,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000688
Elmet and Rothwell Co Const,Elmet and Rothwell,Q3302198,E14000689,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000689
Eltham Boro Const,Eltham,Q1113118,E14000690,country:gb/country:eng,country:gb/country:eng/westminster-constituency:e14000690
