NAME,MS_FB_PARE,MS_FB,WIKIDATA
Greater London,country:gb/country:eng,country:gb/country:eng/region:E12000007,Q23306
Greater Manchester,country:gb/country:eng,country:gb/country:eng/ca:greater-manchester,Q56856017
Liverpool City Region,country:gb/country:eng,country:gb/country:eng/ca:liverpool-city,Q15242530
Cambridgeshire and Peterborough,country:gb/country:eng,country:gb/country:eng/ca:cambridgeshire-and-peterborough,Q56855521
West of England,country:gb/country:eng,country:gb/country:eng/ca:west-of-england,Q56840292
Tees Valley,country:gb/country:eng,country:gb/country:eng/ca:tees-valley,Q3982570
West Midlands,country:gb/country:eng,country:gb/country:eng/ca:west-midlands,Q56856175
