NAME,MS_FB_PARE,MS_FB,WIKIDATA
Barnet and Camden,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000001,Q2884679
Bexley and Bromley,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000002,Q2900428
Brent and Harrow,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000003,Q15078119
City and East,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000004,Q2974584
Croydon and Sutton,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000005,Q3005479
Ealing and Hillingdon,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000006,Q2388154
Enfield and Haringey,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000007,Q3054197
Greenwich and Lewisham,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000008,Q3116153
Havering and Redbridge,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000009,Q3128701
Lambeth and Southwark,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000010,Q3216654
Merton and Wandsworth,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000011,Q3306662
North East,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000012,Q3344113
South West,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000013,Q11799091
West Central,country:gb/country:eng/region:e12000007,country:gb/country:eng/region:e12000007/la-constituency:e32000014,Q3567405
