NAME,CODE,AREA_CODE,DESCRIPTIO,FILE_NAME,MS_FB_PARE,MS_FB
Barking and Dagenham London Boro,E09000002,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000002
Barnet London Boro,E09000003,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000003
Belfast,N09000003,LGD,Local Government District,BELFAST,country:gb/province:nir,country:gb/province:nir/lgd:n09000003
Bexley London Boro,E09000004,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000004
Birmingham District (B),E08000025,MTD,Metropolitan District,BIRMINGHAM_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000025
Bradford District (B),E08000032,MTD,Metropolitan District,BRADFORD_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000032
Brent London Boro,E09000005,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000005
Bromley London Boro,E09000006,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000006
Caerdydd - Cardiff,W06000015,UTA,Unitary Authority,CAERDYDD_-_CARDIFF,country:gb/country:wls,country:gb/country:wls/uta:w06000015
Camden London Boro,E09000007,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000007
City and County of the City of London,E09000001,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000001
City of Bristol (B),E06000023,UTA,Unitary Authority,CITY_OF_BRISTOL_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000023
City of Derby (B),E06000015,UTA,Unitary Authority,CITY_OF_DERBY_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000015
City of Edinburgh,S12000036,UTA,Unitary Authority,CITY_OF_EDINBURGH,country:gb/country:sct,country:gb/country:sct/uta:s12000036
City of Kingston upon Hull (B),E06000010,UTA,Unitary Authority,CITY_OF_KINGSTON_UPON_HULL_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000010
City of Leicester (B),E06000016,UTA,Unitary Authority,CITY_OF_LEICESTER_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000016
City of Nottingham (B),E06000018,UTA,Unitary Authority,CITY_OF_NOTTINGHAM_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000018
City of Plymouth (B),E06000026,UTA,Unitary Authority,CITY_OF_PLYMOUTH_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000026
City of Southampton (B),E06000045,UTA,Unitary Authority,CITY_OF_SOUTHAMPTON_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000045
City of Stoke-on-Trent (B),E06000021,UTA,Unitary Authority,CITY_OF_STOKE-ON-TRENT_(B),country:gb/country:eng,country:gb/country:eng/uta:e06000021
City of Westminster London Boro,E09000033,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000033
City of Wolverhampton District (B),E08000031,MTD,Metropolitan District,CITY_OF_WOLVERHAMPTON_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000031
Coventry District (B),E08000026,MTD,Metropolitan District,COVENTRY_DISTRICT_(B),country:gb/country:eng,country:gb/country:eng/mtd:e08000026
Croydon London Boro,E09000008,LBO,London Borough,GREATER_LONDON_AUTHORITY,country:gb/country:eng,country:gb/country:eng/lbo:e09000008
