NAME,NAME_LOCAL,MS_FB_PARE,MS_FB,WIKIDATA
England,England,country:gb,country:gb/country:eng,Q21
Northern Ireland,Tuaisceart Éireann/Norlin Airlann,country:gb,country:gb/province:nir,Q26
Scotland,Alba,country:gb,country:gb/country:sct,Q22
Wales,Cymru,country:gb,country:gb/country:wls,Q25
