NAME,CODE,AREA_CODE,DESCRIPTIO,FILE_NAME,MS_FB_PARE,MS_FB
Abbey Ward,E05000026,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000026
Alibon Ward,E05000027,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000027
Becontree Ward,E05000028,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000028
Chadwell Heath Ward,E05000029,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000029
Eastbrook Ward,E05000030,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000030
Eastbury Ward,E05000031,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000031
Gascoigne Ward,E05000032,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000032
Goresbrook Ward,E05000033,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000033
Heath Ward,E05000034,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000034
Longbridge Ward,E05000035,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000035
Mayesbrook Ward,E05000036,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000036
Parsloes Ward,E05000037,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000037
River Ward,E05000038,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000038
Thames Ward,E05000039,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000039
Valence Ward,E05000040,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000040
Village Ward,E05000041,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000041
Whalebone Ward,E05000042,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000002,country:gb/country:eng/lbo:e09000002/lbw:e05000042
Brunswick Park Ward,E05000043,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000003,country:gb/country:eng/lbo:e09000003/lbw:e05000043
Burnt Oak Ward,E05000044,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000003,country:gb/country:eng/lbo:e09000003/lbw:e05000044
Childs Hill Ward,E05000045,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000003,country:gb/country:eng/lbo:e09000003/lbw:e05000045
Colindale Ward,E05000046,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000003,country:gb/country:eng/lbo:e09000003/lbw:e05000046
Coppetts Ward,E05000047,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000003,country:gb/country:eng/lbo:e09000003/lbw:e05000047
East Barnet Ward,E05000048,LBW,London Borough Ward,GREATER_LONDON_AUTHORITY,country:gb/country:eng/lbo:e09000003,country:gb/country:eng/lbo:e09000003/lbw:e05000048
