NAME,CODE,MS_FB,MS_FB_PARE,WIKIDATA
Coulsdon Town Ward,E05011466,country:gb/country:eng/lbo:e09000008/lbw:e05011466,country:gb/country:eng/lbo:e09000008,Q56149170
Crystal Palace & Upper Norwood Ward,E05011467,country:gb/country:eng/lbo:e09000008/lbw:e05011467,country:gb/country:eng/lbo:e09000008,Q55608624
Fairfield Ward,E05011468,country:gb/country:eng/lbo:e09000008/lbw:e05011468,country:gb/country:eng/lbo:e09000008,Q5430232
Kenley Ward,E05011469,country:gb/country:eng/lbo:e09000008/lbw:e05011469,country:gb/country:eng/lbo:e09000008,Q55615804
New Addington North Ward,E05011470,country:gb/country:eng/lbo:e09000008/lbw:e05011470,country:gb/country:eng/lbo:e09000008,Q56149215
New Addington South Ward,E05011471,country:gb/country:eng/lbo:e09000008/lbw:e05011471,country:gb/country:eng/lbo:e09000008,Q55625012
Norbury & Pollards Hill Ward,E05011472,country:gb/country:eng/lbo:e09000008/lbw:e05011472,country:gb/country:eng/lbo:e09000008,Q55076664
Norbury Park Ward,E05011473,country:gb/country:eng/lbo:e09000008/lbw:e05011473,country:gb/country:eng/lbo:e09000008,Q55625384
Old Coulsdon Ward,E05011474,country:gb/country:eng/lbo:e09000008/lbw:e05011474,country:gb/country:eng/lbo:e09000008,Q56149056
Park Hill & Whitgift Ward,E05011475,country:gb/country:eng/lbo:e09000008/lbw:e05011475,country:gb/country:eng/lbo:e09000008,Q55629049
Purley & Woodcote Ward,E05011476,country:gb/country:eng/lbo:e09000008/lbw:e05011476,country:gb/country:eng/lbo:e09000008,Q55630835
Purley Oaks & Riddlesdown Ward,E05011477,country:gb/country:eng/lbo:e09000008/lbw:e05011477,country:gb/country:eng/lbo:e09000008,Q55630834
Sanderstead Ward,E05011478,country:gb/country:eng/lbo:e09000008/lbw:e05011478,country:gb/country:eng/lbo:e09000008,Q55632493
Selhurst Ward,E05011479,country:gb/country:eng/lbo:e09000008/lbw:e05011479,country:gb/country:eng/lbo:e09000008,Q55632831
Selsdon & Addington Village Ward,E05011480,country:gb/country:eng/lbo:e09000008/lbw:e05011480,country:gb/country:eng/lbo:e09000008,Q55632838
Selsdon Vale & Forestdale Ward,E05011481,country:gb/country:eng/lbo:e09000008/lbw:e05011481,country:gb/country:eng/lbo:e09000008,Q55632837
Shirley North Ward,E05011482,country:gb/country:eng/lbo:e09000008/lbw:e05011482,country:gb/country:eng/lbo:e09000008,Q55633076
Shirly South Ward,E05011483,country:gb/country:eng/lbo:e09000008/lbw:e05011483,country:gb/country:eng/lbo:e09000008,Q55633077
South Croydon Ward,E05011484,country:gb/country:eng/lbo:e09000008/lbw:e05011484,country:gb/country:eng/lbo:e09000008,Q56149359
South Norwood Ward,E05011485,country:gb/country:eng/lbo:e09000008/lbw:e05011485,country:gb/country:eng/lbo:e09000008,Q55633593
Thornton Heath Ward,E05011486,country:gb/country:eng/lbo:e09000008/lbw:e05011486,country:gb/country:eng/lbo:e09000008,Q55635794
Waddon Ward,E05011487,country:gb/country:eng/lbo:e09000008/lbw:e05011487,country:gb/country:eng/lbo:e09000008,Q55637314
West Thornton Ward,E05011488,country:gb/country:eng/lbo:e09000008/lbw:e05011488,country:gb/country:eng/lbo:e09000008,Q55637556
Woodside Ward,E05011489,country:gb/country:eng/lbo:e09000008/lbw:e05011489,country:gb/country:eng/lbo:e09000008,Q55637892
Acton Central Ward,E05000170,country:gb/country:eng/lbo:e09000009/lbw:e05000170,country:gb/country:eng/lbo:e09000009,Q56295229
Cleveland Ward,E05000171,country:gb/country:eng/lbo:e09000009/lbw:e05000171,country:gb/country:eng/lbo:e09000009,Q56295230
Dormers Wells Ward,E05000172,country:gb/country:eng/lbo:e09000009/lbw:e05000172,country:gb/country:eng/lbo:e09000009,Q56295233
Ealing Broadway Ward,E05000173,country:gb/country:eng/lbo:e09000009/lbw:e05000173,country:gb/country:eng/lbo:e09000009,Q56295248
Ealing Common Ward,E05000174,country:gb/country:eng/lbo:e09000009/lbw:e05000174,country:gb/country:eng/lbo:e09000009,Q56295251
East Acton Ward,E05000175,country:gb/country:eng/lbo:e09000009/lbw:e05000175,country:gb/country:eng/lbo:e09000009,Q56295252
Elthorne Ward,E05000176,country:gb/country:eng/lbo:e09000009/lbw:e05000176,country:gb/country:eng/lbo:e09000009,Q56295255
Greenford Broadway Ward,E05000177,country:gb/country:eng/lbo:e09000009/lbw:e05000177,country:gb/country:eng/lbo:e09000009,Q56295258
Greenford Green Ward,E05000178,country:gb/country:eng/lbo:e09000009/lbw:e05000178,country:gb/country:eng/lbo:e09000009,Q56295259
Hanger Hill Ward,E05000179,country:gb/country:eng/lbo:e09000009/lbw:e05000179,country:gb/country:eng/lbo:e09000009,Q56295262
Hobbayne Ward,E05000180,country:gb/country:eng/lbo:e09000009/lbw:e05000180,country:gb/country:eng/lbo:e09000009,Q56295265
Lady Margaret Ward,E05000181,country:gb/country:eng/lbo:e09000009/lbw:e05000181,country:gb/country:eng/lbo:e09000009,Q56295267
Northfield Ward,E05000182,country:gb/country:eng/lbo:e09000009/lbw:e05000182,country:gb/country:eng/lbo:e09000009,Q56295283
North Greenford Ward,E05000183,country:gb/country:eng/lbo:e09000009/lbw:e05000183,country:gb/country:eng/lbo:e09000009,Q56295279
Northolt Mandeville Ward,E05000184,country:gb/country:eng/lbo:e09000009/lbw:e05000184,country:gb/country:eng/lbo:e09000009,Q56295285
Northolt West End Ward,E05000185,country:gb/country:eng/lbo:e09000009/lbw:e05000185,country:gb/country:eng/lbo:e09000009,Q56295288
Norwood Green Ward,E05000186,country:gb/country:eng/lbo:e09000009/lbw:e05000186,country:gb/country:eng/lbo:e09000009,Q56295291
Perivale Ward,E05000187,country:gb/country:eng/lbo:e09000009/lbw:e05000187,country:gb/country:eng/lbo:e09000009,Q56295293
South Acton Ward,E05000188,country:gb/country:eng/lbo:e09000009/lbw:e05000188,country:gb/country:eng/lbo:e09000009,Q56295295
Southall Broadway Ward,E05000189,country:gb/country:eng/lbo:e09000009/lbw:e05000189,country:gb/country:eng/lbo:e09000009,Q56295298
Southall Green Ward,E05000190,country:gb/country:eng/lbo:e09000009/lbw:e05000190,country:gb/country:eng/lbo:e09000009,Q56295300
Southfield Ward,E05000191,country:gb/country:eng/lbo:e09000009/lbw:e05000191,country:gb/country:eng/lbo:e09000009,Q56295311
Walpole Ward,E05000192,country:gb/country:eng/lbo:e09000009/lbw:e05000192,country:gb/country:eng/lbo:e09000009,Q56295314
Bowes Ward,E05000193,country:gb/country:eng/lbo:e09000010/lbw:e05000193,country:gb/country:eng/lbo:e09000010,Q56295318
Bush Hill Park Ward,E05000194,country:gb/country:eng/lbo:e09000010/lbw:e05000194,country:gb/country:eng/lbo:e09000010,Q56295320
Chase Ward,E05000195,country:gb/country:eng/lbo:e09000010/lbw:e05000195,country:gb/country:eng/lbo:e09000010,Q56295322
Cockfosters Ward,E05000196,country:gb/country:eng/lbo:e09000010/lbw:e05000196,country:gb/country:eng/lbo:e09000010,Q56295325
Edmonton Green Ward,E05000197,country:gb/country:eng/lbo:e09000010/lbw:e05000197,country:gb/country:eng/lbo:e09000010,Q56295327
Enfield Highway Ward,E05000198,country:gb/country:eng/lbo:e09000010/lbw:e05000198,country:gb/country:eng/lbo:e09000010,Q56295330
Enfield Lock Ward,E05000199,country:gb/country:eng/lbo:e09000010/lbw:e05000199,country:gb/country:eng/lbo:e09000010,Q56295332
Grange Ward,E05000200,country:gb/country:eng/lbo:e09000010/lbw:e05000200,country:gb/country:eng/lbo:e09000010,Q56295344
Haselbury Ward,E05000201,country:gb/country:eng/lbo:e09000010/lbw:e05000201,country:gb/country:eng/lbo:e09000010,Q28836918
Highlands Ward,E05000202,country:gb/country:eng/lbo:e09000010/lbw:e05000202,country:gb/country:eng/lbo:e09000010,Q56295349
Jubilee Ward,E05000203,country:gb/country:eng/lbo:e09000010/lbw:e05000203,country:gb/country:eng/lbo:e09000010,Q56295350
Lower Edmonton Ward,E05000204,country:gb/country:eng/lbo:e09000010/lbw:e05000204,country:gb/country:eng/lbo:e09000010,Q56295354
