NAME,CODE,MS_FB,MS_FB_PARE,WIKIDATA
Aldersgate Ward,E05009288,country:gb/country:eng/lbo:e09000001/lbw:e05009288,country:gb/country:eng/lbo:e09000001,Q2337831
Aldgate Ward,E05009289,country:gb/country:eng/lbo:e09000001/lbw:e05009289,country:gb/country:eng/lbo:e09000001,Q2098078
Bassishaw Ward,E05009290,country:gb/country:eng/lbo:e09000001/lbw:e05009290,country:gb/country:eng/lbo:e09000001,Q4868164
Billingsgate Ward,E05009291,country:gb/country:eng/lbo:e09000001/lbw:e05009291,country:gb/country:eng/lbo:e09000001,Q1783406
Bishopsgate Ward,E05009292,country:gb/country:eng/lbo:e09000001/lbw:e05009292,country:gb/country:eng/lbo:e09000001,Q779444
Bread Street Ward,E05009293,country:gb/country:eng/lbo:e09000001/lbw:e05009293,country:gb/country:eng/lbo:e09000001,Q4959146
Bridge Ward,E05009294,country:gb/country:eng/lbo:e09000001/lbw:e05009294,country:gb/country:eng/lbo:e09000001,Q4966196
Broad Street Ward,E05009295,country:gb/country:eng/lbo:e09000001/lbw:e05009295,country:gb/country:eng/lbo:e09000001,Q4971950
Candlewick Ward,E05009296,country:gb/country:eng/lbo:e09000001/lbw:e05009296,country:gb/country:eng/lbo:e09000001,Q5032001
Castle Baynard Ward,E05009297,country:gb/country:eng/lbo:e09000001/lbw:e05009297,country:gb/country:eng/lbo:e09000001,Q5049993
Cheap Ward,E05009298,country:gb/country:eng/lbo:e09000001/lbw:e05009298,country:gb/country:eng/lbo:e09000001,Q5088843
Coleman Street Ward,E05009299,country:gb/country:eng/lbo:e09000001/lbw:e05009299,country:gb/country:eng/lbo:e09000001,Q5143033
Cordwainer Ward,E05009300,country:gb/country:eng/lbo:e09000001/lbw:e05009300,country:gb/country:eng/lbo:e09000001,Q5170081
Cornhill Ward,E05009301,country:gb/country:eng/lbo:e09000001/lbw:e05009301,country:gb/country:eng/lbo:e09000001,Q1782039
Cripplegate Ward,E05009302,country:gb/country:eng/lbo:e09000001/lbw:e05009302,country:gb/country:eng/lbo:e09000001,Q1619586
Dowgate Ward,E05009303,country:gb/country:eng/lbo:e09000001/lbw:e05009303,country:gb/country:eng/lbo:e09000001,Q5302683
Farringdon Within Ward,E05009304,country:gb/country:eng/lbo:e09000001/lbw:e05009304,country:gb/country:eng/lbo:e09000001,Q5436292
Farringdon Without Ward,E05009305,country:gb/country:eng/lbo:e09000001/lbw:e05009305,country:gb/country:eng/lbo:e09000001,Q5436293
Langbourn Ward,E05009306,country:gb/country:eng/lbo:e09000001/lbw:e05009306,country:gb/country:eng/lbo:e09000001,Q6485756
Lime Street Ward,E05009307,country:gb/country:eng/lbo:e09000001/lbw:e05009307,country:gb/country:eng/lbo:e09000001,Q6549148
Portsoken Ward,E05009308,country:gb/country:eng/lbo:e09000001/lbw:e05009308,country:gb/country:eng/lbo:e09000001,Q7232519
Queenhithe Ward,E05009309,country:gb/country:eng/lbo:e09000001/lbw:e05009309,country:gb/country:eng/lbo:e09000001,Q1524847
Tower Ward,E05009310,country:gb/country:eng/lbo:e09000001/lbw:e05009310,country:gb/country:eng/lbo:e09000001,Q3535927
Vintry Ward,E05009311,country:gb/country:eng/lbo:e09000001/lbw:e05009311,country:gb/country:eng/lbo:e09000001,Q7932905
Walbrook Ward,E05009312,country:gb/country:eng/lbo:e09000001/lbw:e05009312,country:gb/country:eng/lbo:e09000001,Q1261052
Abbey Ward,E05000026,country:gb/country:eng/lbo:e09000002/lbw:e05000026,country:gb/country:eng/lbo:e09000002,Q4663970
Alibon Ward,E05000027,country:gb/country:eng/lbo:e09000002/lbw:e05000027,country:gb/country:eng/lbo:e09000002,Q5668649
Becontree Ward,E05000028,country:gb/country:eng/lbo:e09000002/lbw:e05000028,country:gb/country:eng/lbo:e09000002,Q56294832
Chadwell Heath Ward,E05000029,country:gb/country:eng/lbo:e09000002/lbw:e05000029,country:gb/country:eng/lbo:e09000002,Q56294834
Eastbrook Ward,E05000030,country:gb/country:eng/lbo:e09000002/lbw:e05000030,country:gb/country:eng/lbo:e09000002,Q56294837
Eastbury Ward,E05000031,country:gb/country:eng/lbo:e09000002/lbw:e05000031,country:gb/country:eng/lbo:e09000002,Q56294839
Gascoigne Ward,E05000032,country:gb/country:eng/lbo:e09000002/lbw:e05000032,country:gb/country:eng/lbo:e09000002,Q56294840
Goresbrook Ward,E05000033,country:gb/country:eng/lbo:e09000002/lbw:e05000033,country:gb/country:eng/lbo:e09000002,Q56294842
Heath Ward,E05000034,country:gb/country:eng/lbo:e09000002/lbw:e05000034,country:gb/country:eng/lbo:e09000002,Q56294846
Longbridge Ward,E05000035,country:gb/country:eng/lbo:e09000002/lbw:e05000035,country:gb/country:eng/lbo:e09000002,Q56294847
Mayesbrook Ward,E05000036,country:gb/country:eng/lbo:e09000002/lbw:e05000036,country:gb/country:eng/lbo:e09000002,Q56294849
Parsloes Ward,E05000037,country:gb/country:eng/lbo:e09000002/lbw:e05000037,country:gb/country:eng/lbo:e09000002,Q6063823
River Ward,E05000038,country:gb/country:eng/lbo:e09000002/lbw:e05000038,country:gb/country:eng/lbo:e09000002,Q11703246
Thames Ward,E05000039,country:gb/country:eng/lbo:e09000002/lbw:e05000039,country:gb/country:eng/lbo:e09000002,Q7709858
Valence Ward,E05000040,country:gb/country:eng/lbo:e09000002/lbw:e05000040,country:gb/country:eng/lbo:e09000002,Q56294867
Village Ward,E05000041,country:gb/country:eng/lbo:e09000002/lbw:e05000041,country:gb/country:eng/lbo:e09000002,Q56294869
Whalebone Ward,E05000042,country:gb/country:eng/lbo:e09000002/lbw:e05000042,country:gb/country:eng/lbo:e09000002,Q56294870
Brunswick Park Ward,E05000043,country:gb/country:eng/lbo:e09000003/lbw:e05000043,country:gb/country:eng/lbo:e09000003,Q56294874
Burnt Oak Ward,E05000044,country:gb/country:eng/lbo:e09000003/lbw:e05000044,country:gb/country:eng/lbo:e09000003,Q56294877
Childs Hill Ward,E05000045,country:gb/country:eng/lbo:e09000003/lbw:e05000045,country:gb/country:eng/lbo:e09000003,Q56294878
Colindale Ward,E05000046,country:gb/country:eng/lbo:e09000003/lbw:e05000046,country:gb/country:eng/lbo:e09000003,Q56294881
Coppetts Ward,E05000047,country:gb/country:eng/lbo:e09000003/lbw:e05000047,country:gb/country:eng/lbo:e09000003,Q56294885
East Barnet Ward,E05000048,country:gb/country:eng/lbo:e09000003/lbw:e05000048,country:gb/country:eng/lbo:e09000003,Q56294887
East Finchley Ward,E05000049,country:gb/country:eng/lbo:e09000003/lbw:e05000049,country:gb/country:eng/lbo:e09000003,Q56294903
Edgware Ward,E05000050,country:gb/country:eng/lbo:e09000003/lbw:e05000050,country:gb/country:eng/lbo:e09000003,Q56294905
Finchley Church End Ward,E05000051,country:gb/country:eng/lbo:e09000003/lbw:e05000051,country:gb/country:eng/lbo:e09000003,Q56294908
Garden Suburb Ward,E05000052,country:gb/country:eng/lbo:e09000003/lbw:e05000052,country:gb/country:eng/lbo:e09000003,Q56294912
Golders Green Ward,E05000053,country:gb/country:eng/lbo:e09000003/lbw:e05000053,country:gb/country:eng/lbo:e09000003,Q56294915
Hale Ward,E05000054,country:gb/country:eng/lbo:e09000003/lbw:e05000054,country:gb/country:eng/lbo:e09000003,Q56294917
Hendon Ward,E05000055,country:gb/country:eng/lbo:e09000003/lbw:e05000055,country:gb/country:eng/lbo:e09000003,Q56294918
High Barnet Ward,E05000056,country:gb/country:eng/lbo:e09000003/lbw:e05000056,country:gb/country:eng/lbo:e09000003,Q56294923
Mill Hill Ward,E05000057,country:gb/country:eng/lbo:e09000003/lbw:e05000057,country:gb/country:eng/lbo:e09000003,Q56294926
Oakleigh Ward,E05000058,country:gb/country:eng/lbo:e09000003/lbw:e05000058,country:gb/country:eng/lbo:e09000003,Q56294941
Totteridge Ward,E05000059,country:gb/country:eng/lbo:e09000003/lbw:e05000059,country:gb/country:eng/lbo:e09000003,Q56294945
Underhill Ward,E05000060,country:gb/country:eng/lbo:e09000003/lbw:e05000060,country:gb/country:eng/lbo:e09000003,Q56294946
West Finchley Ward,E05000061,country:gb/country:eng/lbo:e09000003/lbw:e05000061,country:gb/country:eng/lbo:e09000003,Q56294948
West Hendon Ward,E05000062,country:gb/country:eng/lbo:e09000003/lbw:e05000062,country:gb/country:eng/lbo:e09000003,Q56294952
Woodhouse Ward,E05000063,country:gb/country:eng/lbo:e09000003/lbw:e05000063,country:gb/country:eng/lbo:e09000003,Q56294954
Barnehurst Ward,E05011217,country:gb/country:eng/lbo:e09000004/lbw:e05011217,country:gb/country:eng/lbo:e09000004,Q56294955
Belvedere Ward,E05011218,country:gb/country:eng/lbo:e09000004/lbw:e05011218,country:gb/country:eng/lbo:e09000004,Q56294958
Bexleyheath Ward,E05011219,country:gb/country:eng/lbo:e09000004/lbw:e05011219,country:gb/country:eng/lbo:e09000004,Q56294961
Blackfen & Lamorbey Ward,E05011220,country:gb/country:eng/lbo:e09000004/lbw:e05011220,country:gb/country:eng/lbo:e09000004,Q56294974
Blendon & Penhill Ward,E05011221,country:gb/country:eng/lbo:e09000004/lbw:e05011221,country:gb/country:eng/lbo:e09000004,Q4926024
Crayford Ward,E05011222,country:gb/country:eng/lbo:e09000004/lbw:e05011222,country:gb/country:eng/lbo:e09000004,Q56294976
Crook Log Ward,E05011223,country:gb/country:eng/lbo:e09000004/lbw:e05011223,country:gb/country:eng/lbo:e09000004,Q56294978
East Wickham Ward,E05011224,country:gb/country:eng/lbo:e09000004/lbw:e05011224,country:gb/country:eng/lbo:e09000004,Q56294980
Erith Ward,E05011225,country:gb/country:eng/lbo:e09000004/lbw:e05011225,country:gb/country:eng/lbo:e09000004,Q56294983
Falconwood & Welling Ward,E05011226,country:gb/country:eng/lbo:e09000004/lbw:e05011226,country:gb/country:eng/lbo:e09000004,Q56294986
Longlands Ward,E05011227,country:gb/country:eng/lbo:e09000004/lbw:e05011227,country:gb/country:eng/lbo:e09000004,Q56294989
Northumberland Heath Ward,E05011228,country:gb/country:eng/lbo:e09000004/lbw:e05011228,country:gb/country:eng/lbo:e09000004,Q56294991
St. Mary's & St. James Ward,E05011229,country:gb/country:eng/lbo:e09000004/lbw:e05011229,country:gb/country:eng/lbo:e09000004,Q56295010
Sidcup Ward,E05011230,country:gb/country:eng/lbo:e09000004/lbw:e05011230,country:gb/country:eng/lbo:e09000004,Q56294993
Slade Green & Northend Ward,E05011231,country:gb/country:eng/lbo:e09000004/lbw:e05011231,country:gb/country:eng/lbo:e09000004,Q56295007
Thamesmead East Ward,E05011232,country:gb/country:eng/lbo:e09000004/lbw:e05011232,country:gb/country:eng/lbo:e09000004,Q56295012
West Heath Ward,E05011233,country:gb/country:eng/lbo:e09000004/lbw:e05011233,country:gb/country:eng/lbo:e09000004,Q56295015
Alperton Ward,E05000085,country:gb/country:eng/lbo:e09000005/lbw:e05000085,country:gb/country:eng/lbo:e09000005,Q56295018
Barnhill Ward,E05000086,country:gb/country:eng/lbo:e09000005/lbw:e05000086,country:gb/country:eng/lbo:e09000005,Q56295021
Brondesbury Park Ward,E05000087,country:gb/country:eng/lbo:e09000005/lbw:e05000087,country:gb/country:eng/lbo:e09000005,Q56295023
Dollis Hill Ward,E05000088,country:gb/country:eng/lbo:e09000005/lbw:e05000088,country:gb/country:eng/lbo:e09000005,Q56295026
Dudden Hill Ward,E05000089,country:gb/country:eng/lbo:e09000005/lbw:e05000089,country:gb/country:eng/lbo:e09000005,Q56295028
Fryent Ward,E05000090,country:gb/country:eng/lbo:e09000005/lbw:e05000090,country:gb/country:eng/lbo:e09000005,Q56295042
Harlesden Ward,E05000091,country:gb/country:eng/lbo:e09000005/lbw:e05000091,country:gb/country:eng/lbo:e09000005,Q56295045
Kensal Green Ward,E05000092,country:gb/country:eng/lbo:e09000005/lbw:e05000092,country:gb/country:eng/lbo:e09000005,Q56295047
Kenton Ward,E05000093,country:gb/country:eng/lbo:e09000005/lbw:e05000093,country:gb/country:eng/lbo:e09000005,Q56295053
Kilburn Ward,E05000094,country:gb/country:eng/lbo:e09000005/lbw:e05000094,country:gb/country:eng/lbo:e09000005,Q56295054
Mapesbury Ward,E05000095,country:gb/country:eng/lbo:e09000005/lbw:e05000095,country:gb/country:eng/lbo:e09000005,Q56295056
Northwick Park Ward,E05000096,country:gb/country:eng/lbo:e09000005/lbw:e05000096,country:gb/country:eng/lbo:e09000005,Q56295059
Preston Ward,E05000097,country:gb/country:eng/lbo:e09000005/lbw:e05000097,country:gb/country:eng/lbo:e09000005,Q7241829
Queens Park Ward,E05000098,country:gb/country:eng/lbo:e09000005/lbw:e05000098,country:gb/country:eng/lbo:e09000005,Q56295061
Queensbury Ward,E05000099,country:gb/country:eng/lbo:e09000005/lbw:e05000099,country:gb/country:eng/lbo:e09000005,Q56295063
Stonebridge Ward,E05000100,country:gb/country:eng/lbo:e09000005/lbw:e05000100,country:gb/country:eng/lbo:e09000005,Q56295079
Sudbury Ward,E05000101,country:gb/country:eng/lbo:e09000005/lbw:e05000101,country:gb/country:eng/lbo:e09000005,Q56295081
Tokyngton Ward,E05000102,country:gb/country:eng/lbo:e09000005/lbw:e05000102,country:gb/country:eng/lbo:e09000005,Q56295085
Welsh Harp Ward,E05000103,country:gb/country:eng/lbo:e09000005/lbw:e05000103,country:gb/country:eng/lbo:e09000005,Q7981910
Wembley Central Ward,E05000104,country:gb/country:eng/lbo:e09000005/lbw:e05000104,country:gb/country:eng/lbo:e09000005,Q7982174
Willesden Green Ward,E05000105,country:gb/country:eng/lbo:e09000005/lbw:e05000105,country:gb/country:eng/lbo:e09000005,Q28938133
Bickley Ward,E05000106,country:gb/country:eng/lbo:e09000006/lbw:e05000106,country:gb/country:eng/lbo:e09000006,Q56295087
Biggin Hill Ward,E05000107,country:gb/country:eng/lbo:e09000006/lbw:e05000107,country:gb/country:eng/lbo:e09000006,Q56295090
Bromley Common and Keston Ward,E05000108,country:gb/country:eng/lbo:e09000006/lbw:e05000108,country:gb/country:eng/lbo:e09000006,Q56295092
Bromley Town Ward,E05000109,country:gb/country:eng/lbo:e09000006/lbw:e05000109,country:gb/country:eng/lbo:e09000006,Q56295094
Chelsfield and Pratts Bottom Ward,E05000110,country:gb/country:eng/lbo:e09000006/lbw:e05000110,country:gb/country:eng/lbo:e09000006,Q56295096
Chislehurst Ward,E05000111,country:gb/country:eng/lbo:e09000006/lbw:e05000111,country:gb/country:eng/lbo:e09000006,Q56295099
Clock House Ward,E05000112,country:gb/country:eng/lbo:e09000006/lbw:e05000112,country:gb/country:eng/lbo:e09000006,Q56295112
Copers Cope Ward,E05000113,country:gb/country:eng/lbo:e09000006/lbw:e05000113,country:gb/country:eng/lbo:e09000006,Q56295115
Cray Valley East Ward,E05000114,country:gb/country:eng/lbo:e09000006/lbw:e05000114,country:gb/country:eng/lbo:e09000006,Q56295118
Cray Valley West Ward,E05000115,country:gb/country:eng/lbo:e09000006/lbw:e05000115,country:gb/country:eng/lbo:e09000006,Q56295121
Crystal Palace Ward,E05000116,country:gb/country:eng/lbo:e09000006/lbw:e05000116,country:gb/country:eng/lbo:e09000006,Q16988265
Darwin Ward,E05000117,country:gb/country:eng/lbo:e09000006/lbw:e05000117,country:gb/country:eng/lbo:e09000006,Q56295123
Farnborough and Crofton Ward,E05000118,country:gb/country:eng/lbo:e09000006/lbw:e05000118,country:gb/country:eng/lbo:e09000006,Q56295126
Hayes and Coney Hall Ward,E05000119,country:gb/country:eng/lbo:e09000006/lbw:e05000119,country:gb/country:eng/lbo:e09000006,Q56295128
Kelsey and Eden Park Ward,E05000120,country:gb/country:eng/lbo:e09000006/lbw:e05000120,country:gb/country:eng/lbo:e09000006,Q56295130
Mottingham and Chislehurst North Ward,E05000121,country:gb/country:eng/lbo:e09000006/lbw:e05000121,country:gb/country:eng/lbo:e09000006,Q56295133
Orpington Ward,E05000122,country:gb/country:eng/lbo:e09000006/lbw:e05000122,country:gb/country:eng/lbo:e09000006,Q56295146
Penge and Cator Ward,E05000123,country:gb/country:eng/lbo:e09000006/lbw:e05000123,country:gb/country:eng/lbo:e09000006,Q56295149
Petts Wood and Knoll Ward,E05000124,country:gb/country:eng/lbo:e09000006/lbw:e05000124,country:gb/country:eng/lbo:e09000006,Q56295152
Plaistow and Sundridge Ward,E05000125,country:gb/country:eng/lbo:e09000006/lbw:e05000125,country:gb/country:eng/lbo:e09000006,Q56295155
Shortlands Ward,E05000126,country:gb/country:eng/lbo:e09000006/lbw:e05000126,country:gb/country:eng/lbo:e09000006,Q56295158
West Wickham Ward,E05000127,country:gb/country:eng/lbo:e09000006/lbw:e05000127,country:gb/country:eng/lbo:e09000006,Q56295160
Belsize Ward,E05000128,country:gb/country:eng/lbo:e09000007/lbw:e05000128,country:gb/country:eng/lbo:e09000007,Q16951138
Bloomsbury Ward,E05000129,country:gb/country:eng/lbo:e09000007/lbw:e05000129,country:gb/country:eng/lbo:e09000007,Q4928380
Camden Town with Primrose Hill Ward,E05000130,country:gb/country:eng/lbo:e09000007/lbw:e05000130,country:gb/country:eng/lbo:e09000007,Q16955068
Cantelowes Ward,E05000131,country:gb/country:eng/lbo:e09000007/lbw:e05000131,country:gb/country:eng/lbo:e09000007,Q16828848
Fortune Green Ward,E05000132,country:gb/country:eng/lbo:e09000007/lbw:e05000132,country:gb/country:eng/lbo:e09000007,Q16992376
Frognal and Fitzjohns Ward,E05000133,country:gb/country:eng/lbo:e09000007/lbw:e05000133,country:gb/country:eng/lbo:e09000007,Q5505290
Gospel Oak Ward,E05000134,country:gb/country:eng/lbo:e09000007/lbw:e05000134,country:gb/country:eng/lbo:e09000007,Q17007112
Hampstead Town Ward,E05000135,country:gb/country:eng/lbo:e09000007/lbw:e05000135,country:gb/country:eng/lbo:e09000007,Q16993628
Haverstock Ward,E05000136,country:gb/country:eng/lbo:e09000007/lbw:e05000136,country:gb/country:eng/lbo:e09000007,Q16842240
Highgate Ward,E05000137,country:gb/country:eng/lbo:e09000007/lbw:e05000137,country:gb/country:eng/lbo:e09000007,Q16994036
Holborn and Covent Garden Ward,E05000138,country:gb/country:eng/lbo:e09000007/lbw:e05000138,country:gb/country:eng/lbo:e09000007,Q15224474
Kentish Town Ward,E05000139,country:gb/country:eng/lbo:e09000007/lbw:e05000139,country:gb/country:eng/lbo:e09000007,Q16852619
Kilburn Ward,E05000140,country:gb/country:eng/lbo:e09000007/lbw:e05000140,country:gb/country:eng/lbo:e09000007,Q16995654
King's Cross Ward,E05000141,country:gb/country:eng/lbo:e09000007/lbw:e05000141,country:gb/country:eng/lbo:e09000007,Q6410915
Regent's Park Ward,E05000142,country:gb/country:eng/lbo:e09000007/lbw:e05000142,country:gb/country:eng/lbo:e09000007,Q17018776
St. Pancras and Somers Town Ward,E05000143,country:gb/country:eng/lbo:e09000007/lbw:e05000143,country:gb/country:eng/lbo:e09000007,Q16962273
Swiss Cottage Ward,E05000144,country:gb/country:eng/lbo:e09000007/lbw:e05000144,country:gb/country:eng/lbo:e09000007,Q17021874
West Hampstead Ward,E05000145,country:gb/country:eng/lbo:e09000007/lbw:e05000145,country:gb/country:eng/lbo:e09000007,Q16967163
Addiscombe East Ward,E05011462,country:gb/country:eng/lbo:e09000008/lbw:e05011462,country:gb/country:eng/lbo:e09000008,Q56148845
Addiscombe West Ward,E05011463,country:gb/country:eng/lbo:e09000008/lbw:e05011463,country:gb/country:eng/lbo:e09000008,Q56148991
Bensham Manor Ward,E05011464,country:gb/country:eng/lbo:e09000008/lbw:e05011464,country:gb/country:eng/lbo:e09000008,Q4890213
Broad Green Ward,E05011465,country:gb/country:eng/lbo:e09000008/lbw:e05011465,country:gb/country:eng/lbo:e09000008,Q4971886
