NAME,DESCRIPTIO,MS_FB_PARE,MS_FB,WIKIDATA
Central Scotland,Scottish Parliament Region,country:gb/country:sct,country:gb/country:sct/spr:central-scotland,Q1053991
South Scotland,Scottish Parliament Region,country:gb/country:sct,country:gb/country:sct/spr:south-scotland,Q1749544
Lothian,Scottish Parliament Region,country:gb/country:sct,country:gb/country:sct/spr:lothian,Q1871077
Mid Scotland and Fife,Scottish Parliament region,country:gb/country:sct,country:gb/country:sct/spr:mid-scotland-and-fife,Q1931762
Highlands and Islands,Scottish Parliament Region,country:gb/country:sct,country:gb/country:sct/spr:highlands-and-islands,Q1549306
North East Scotland,Scottish Parliament Region,country:gb/country:sct,country:gb/country:sct/spr:north-east-scotland,Q1647853
West Scotland,Scottish Parliament Region,country:gb/country:sct,country:gb/country:sct/spr:west-scotland,Q2564353
Glasgow,Scottish Parliament Region,country:gb/country:sct,country:gb/country:sct/spr:glasgow,Q1529479
